ko, ko, , , Korean, Korean, , , 
yy. M. d, yyyy. M. d, yyyy'년' M'월' d'일' '('EE')'
a h:mm, a h:mm:ss, a h'시' mm'분' ss'초'
#,##0, #,##0.###, #,##0%, ¤ #,##0.00

sr-Latn-BA, sr, BA, , 세르비아어 (로마자,보스니아 헤르체고비나), 세르비아어, 보스니아 헤르체고비나, 
ro-RO, ro, RO, , 루마니아어 (루마니아), 루마니아어, 루마니아, 
fr-LU, fr, LU, , 프랑스어 (룩셈부르크), 프랑스어, 룩셈부르크, 
no, no, , , 노르웨이어, 노르웨이어, , 
lt, lt, , , 리투아니아어, 리투아니아어, , 
en-SG, en, SG, , 영어 (싱가포르), 영어, 싱가포르, 
es-EC, es, EC, , 스페인어 (에쿠아도르), 스페인어, 에쿠아도르, 
sr-BA, sr, BA, , 세르비아어 (보스니아 헤르체고비나), 세르비아어, 보스니아 헤르체고비나, 
es-NI, es, NI, , 스페인어 (니카라과), 스페인어, 니카라과, 
sk, sk, , , 슬로바키아어, 슬로바키아어, , 
ru, ru, , , 러시아어, 러시아어, , 
mt, mt, , , 몰타어, 몰타어, , 
es-SV, es, SV, , 스페인어 (엘살바도르), 스페인어, 엘살바도르, 
nl, nl, , , 네덜란드어, 네덜란드어, , 
hi-IN, hi, IN, , 힌디어 (인도), 힌디어, 인도, 
et, et, , , 에스토니아어, 에스토니아어, , 
el-GR, el, GR, , 그리스어 (그리스), 그리스어, 그리스, 
sl-SI, sl, SI, , 슬로베니아어 (슬로베니아), 슬로베니아어, 슬로베니아, 
it-IT, it, IT, , 이탈리아어 (이탈리아), 이탈리아어, 이탈리아, 
ja-JP, ja, JP, , 일본어 (일본), 일본어, 일본, 
de-LU, de, LU, , 독일어 (룩셈부르크), 독일어, 룩셈부르크, 
fr-CH, fr, CH, , 프랑스어 (스위스), 프랑스어, 스위스, 
mt-MT, mt, MT, , 몰타어 (몰타), 몰타어, 몰타, 
ar-BH, ar, BH, , 아랍어 (바레인), 아랍어, 바레인, 
sq, sq, , , 알바니아어, 알바니아어, , 
